headword,pos,definition,examples,synonyms
alone,adverb,without any others being included or involved [adv.all] | without anybody else or anything else [adv.all],was entirely to blame | a school devoted entirely to the needs of problem children | he works for Mr. Smith exclusively | did it solely for money | the burden of proof rests on the prosecution alone,"entirely, exclusively, solely, only, solo, unaccompanied"
along,adverb,with a forward motion [adv.all] | in accompaniment or as a companion [adv.all] | to a more advanced state [adv.all] | in addition (usually followed by `with') [adv.all] | in line with a length or direction (often followed by `by' or `beside') [adv.all],we drove along admiring the view | the horse trotted along at a steady pace | the circus traveled on to the next city | move along | march on,on
alongside,adverb,side by side [adv.all],"anchored close aboard another ship | ""anchored close aboard another ship""",aboard
aloof,adverb,in an aloof manner [adv.all],"the local gentry and professional classes had held aloof for the school had accepted their sons readily enough | ""the local gentry and professional classes had held aloof for the school had accepted their sons readily enough""",
aloud,adverb,using the voice [adv.all] | with relatively high volume [adv.all],"please read the passage aloud | he laughed out loud | not silently | ""please read the passage aloud"" | ""he laughed out loud""","out loud, loudly, loud"
alphabetically,adverb,in alphabetical order [adv.all],"the list was arranged alphabetically | ""the list was arranged alphabetically""",
already,adverb,prior to a specified or implied time [adv.all],"she has already graduated | ""she has already graduated""",
alright,adverb,without doubt (used to reinforce an assertion) [adv.all] | an expression of agreement normally occurring at the beginning of a sentence [adv.all] | in a satisfactory or adequate manner [adv.all],"it's expensive all right | ""it's expensive all right"" | she'll do okay on her own | held up all right under pressure | ""she'll do okay on her own""","all right, very well, fine, OK, okay, O.K."
also,adverb,in addition [adv.all],"he has a Mercedes, too | ""he has a Mercedes, too""","besides, too, likewise, as well"
also known as,adverb,as known or named at another time or place [adv.all],"Mr. Smith, alias Mr. Lafayette | ""Mr. Smith, alias Mr. Lafayette""","alias, a.k.a."
alternately,adverb,in an alternating sequence or position [adv.all],"They were deglycerolized by alternately centrifuging and mixing | he planted fir and pine trees alternately | ""They were deglycerolized by alternately centrifuging and mixing"" | ""he planted fir and pine trees alternately""",
alternatively,adverb,"in place of, or as an alternative to [adv.all]","Felix became a herpetologist instead | alternatively we could buy a used car | ""Felix became a herpetologist instead"" | ""alternatively we could buy a used car""","instead, or else"
altogether,adverb,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly') [adv.all] | with everything included or counted [adv.all] | with everything considered (and neglecting details) [adv.all],he was wholly convinced | entirely satisfied with the meal | it was completely different from what we expected | was completely at fault | a totally new situation,"wholly, entirely, completely, totally, all, whole, all told, in all, all in all, on the whole, tout ensemble"
altruistically,adverb,in an altruistic manner [adv.all],"he acted selflessly when he helped the old lady in distress | ""he acted selflessly when he helped the old lady in distress""",selflessly
always,adverb,"at all times [adv.all] | without variation or change, in every case [adv.all] | without interruption [adv.all] | at any time or in any event [adv.all] | forever [adv.all]",I will always be there to help you | always arrives on time | there is always some pollution in the air | ever hoping to strike it rich | ever busy,"ever, e'er, constantly, invariably, forever, perpetually, incessantly"
amain,adverb,at full speed [adv.all] | with all your strength [adv.all],"the children ran down the hill amain | with great haste | ""the children ran down the hill amain"" | he pulled the ropes amain | ""he pulled the ropes amain""",
amateurishly,adverb,in an amateurish manner [adv.all],"he performed the piece amateurishly | ""he performed the piece amateurishly""",
amazingly,adverb,in an amazing manner [adv.all],"amazingly, he finished medical school in three years | to everyone's surprise | ""amazingly, he finished medical school in three years""","surprisingly, astonishingly"
ambiguously,adverb,in an ambiguous manner [adv.all],"this letter is worded ambiguously | ""this letter is worded ambiguously""",equivocally
ambitiously,adverb,with ambition [adv.all],"she pursued her goals ambitiously | in an ambitious and energetic manner | ""she pursued her goals ambitiously""",determinedly
amiably,adverb,in an affable manner [adv.all],"`Come and visit me,' he said amiably | ""`Come and visit me,' he said amiably""","affably, genially"
amicably,adverb,in an amicable manner [adv.all],"they separated amicably | ""they separated amicably""",
amidship,adverb,at or near or toward the center of a ship [adv.all] | at or near or toward the middle [adv.all],"in the late 19th century, engines were placed in front, amidships, and at the rear | ""in the late 19th century, engines were placed in front, amidships, and at the rear""","amidships, midships"
